episode,reward_mean,reward_std,steps_mean
1,-0.764333,0.735222,10.766667
2,-0.974667,0.505317,11.800000
3,-0.817667,0.627852,9.433333
4,-0.860333,0.629108,13.700000
5,-0.650000,0.800275,12.666667
6,-0.848333,0.674695,12.500000
7,-0.999667,0.435228,14.300000
8,-0.985667,0.494750,12.900000
9,-0.803000,0.654090,7.966667
10,-1.072667,0.069902,8.266667
11,-0.583000,0.839334,12.633333
12,-0.838333,0.661519,11.500000
13,-0.709000,0.763751,11.900000
14,-0.653000,0.838098,12.966667
15,-0.634667,0.804470,11.133333
16,-0.764667,0.676726,10.800000
17,-0.967667,0.479504,11.100000
18,-0.849667,0.683971,12.633333
19,-0.909000,0.588282,11.900000
20,-0.886667,0.566582,9.666667
21,-0.803667,0.663197,8.033333
22,-0.910667,0.590728,12.066667
23,-0.934333,0.610490,14.433333
24,-0.886333,0.545903,9.633333
25,-0.830333,0.656691,10.700000
26,-0.702000,0.761680,11.200000
27,-0.868000,0.595211,7.800000
28,-0.950333,0.474493,9.366667
29,-0.852000,0.631329,12.866667
30,-0.630333,0.865253,17.366667
31,-0.625667,0.808726,10.233333
32,-0.466333,0.920190,14.300000
33,-0.809333,0.650195,8.600000
34,-0.904667,0.589083,11.466667
35,-0.733000,0.808951,14.300000
36,-0.777000,0.735827,12.033333
37,-0.568667,0.850661,11.200000
38,-0.765000,0.699851,10.833333
39,-0.597000,0.882191,14.033333
40,-0.832000,0.655934,10.866667
41,-0.931667,0.494430,7.500000
42,-0.612000,0.813312,8.866667
43,-0.713333,0.775058,12.333333
44,-0.812000,0.628041,8.866667
45,-0.817667,0.658674,9.433333
46,-0.450000,0.908974,12.666667
47,-0.691000,0.766087,10.100000
48,-0.612667,0.800375,8.933333
49,-0.856000,0.591081,6.600000
50,-0.726333,0.721551,6.966667
51,-0.893000,0.574219,10.300000
52,-0.521333,0.865867,13.133333
53,-0.685333,0.789260,9.533333
54,-0.777333,0.712937,12.066667
55,-0.606000,0.818733,8.266667
56,-0.820000,0.666383,9.666667
57,-0.763333,0.722414,10.666667
58,-0.398667,0.946674,14.200000
59,-0.679333,0.770008,8.933333
60,-0.690000,0.750102,10.000000
61,-0.688667,0.760389,9.866667
62,-0.625000,0.814767,10.166667
63,-0.614333,0.797700,9.100000
64,-0.643667,0.783167,12.033333
65,-0.562000,0.834432,10.533333
66,-0.584000,0.900191,12.733333
67,-0.641667,0.835217,11.833333
68,-0.299333,0.949821,10.933333
69,-0.340333,0.949370,15.033333
70,-0.565667,0.851272,10.900000
71,-0.807000,0.647792,8.366667
72,-0.578333,0.860926,12.166667
73,-0.681000,0.763109,9.100000
74,-0.623333,0.827282,10.000000
75,-0.723000,0.770624,13.300000
76,-0.496667,0.894212,10.666667
77,-0.815000,0.653951,9.166667
78,-0.301333,0.933162,11.133333
79,-0.462000,0.884505,7.200000
80,-0.489333,0.874612,9.933333
81,-0.560667,0.841352,10.400000
82,-0.701667,0.759724,11.166667
83,-0.559000,0.852382,10.233333
84,-0.505333,0.870447,11.533333
85,-0.564333,0.854840,10.766667
86,-0.512000,0.917164,12.200000
87,-0.494667,0.881422,10.466667
88,-0.504667,0.907218,11.466667
89,-0.541000,0.863961,8.433333
90,-0.720667,0.704381,6.400000
91,-0.193000,0.964732,13.633333
92,-0.071000,0.957021,14.766667
93,-0.882667,0.576564,9.266667
94,-0.819667,0.662236,9.633333
95,-0.310667,0.921379,12.066667
96,-0.868667,0.594893,7.866667
97,-0.565333,0.858894,10.866667
98,-0.432000,0.918507,10.866667
99,-0.499000,0.896294,10.900000
100,-0.765333,0.738375,10.866667
101,-0.360667,0.919547,10.400000
102,-0.170667,0.969326,11.400000
103,-0.500667,0.883048,11.066667
104,-0.590333,0.854976,13.366667
105,-0.418000,0.919081,9.466667
106,-0.487667,0.884016,9.766667
107,-0.231333,0.958898,10.800000
108,-0.228333,0.955552,10.500000
109,-0.402667,0.924096,7.933333
110,-0.548667,0.856009,9.200000
111,-0.569667,0.844849,11.300000
112,-0.427333,0.922428,10.400000
113,-0.185333,0.984729,12.866667
114,-0.762000,0.684959,10.533333
115,-0.362333,0.942609,10.566667
116,-0.149667,0.969483,9.300000
117,-0.810000,0.662772,8.666667
118,-0.485000,0.884435,9.500000
119,-0.240333,0.945355,11.700000
120,0.143000,0.932456,13.366667
121,-0.346333,0.933576,8.966667
122,-0.232667,0.972169,10.933333
123,-0.265333,0.968589,14.200000
124,-0.161000,0.976986,10.433333
125,-0.026333,0.952171,10.300000
126,0.087667,0.959141,12.233333
127,-0.038667,0.954703,11.533333
128,0.030667,0.947780,11.266667
129,-0.301667,0.940341,11.166667
130,-0.219333,0.969959,9.600000
131,-0.292667,0.939943,10.266667
132,-0.300000,0.968373,11.000000
133,-0.035000,0.949634,11.166667
134,-0.423667,0.897391,10.033333
135,-0.213667,0.963686,9.033333
136,-0.417000,0.907132,9.366667
137,0.026667,0.940104,11.666667
138,-0.106000,0.972141,11.600000
139,-0.019667,0.973305,9.633333
140,-0.359333,0.929552,10.266667
141,-0.608667,0.825848,8.533333
142,-0.305667,0.947103,11.566667
143,-0.020000,0.971085,9.666667
144,-0.169667,0.946733,11.300000
145,-0.076667,0.958618,8.666667
146,-0.220333,0.947032,9.700000
147,0.224000,0.923131,11.933333
148,-0.227000,0.948048,10.366667
149,-0.602667,0.833866,7.933333
150,-0.043000,0.933917,11.966667
151,0.113333,0.962640,9.666667
152,-0.243333,0.954670,12.000000
153,-0.345333,0.941809,8.866667
154,-0.143333,0.962931,8.666667
155,0.040000,0.965678,10.333333
156,-0.270333,0.933433,8.033333
157,-0.431000,0.902804,10.766667
158,0.047000,0.961121,9.633333
159,-0.424667,0.913578,10.133333
160,-0.050667,0.936468,12.733333
161,0.031333,0.967084,11.200000
162,0.223333,0.905334,12.000000
163,-0.093000,0.967471,10.300000
164,-0.141333,0.970171,8.466667
165,-0.097000,0.943059,10.700000
166,-0.317667,0.967987,12.766667
167,-0.030000,0.971350,10.666667
168,0.244000,0.906468,9.933333
169,0.175000,0.919296,10.166667
170,0.247000,0.923811,9.633333
171,-0.153667,0.976721,9.700000
172,0.112333,0.938473,9.766667
173,0.221667,0.902848,12.166667
174,-0.348000,0.921797,9.133333
175,-0.087667,0.968045,9.766667
176,-0.393333,0.896182,7.000000
177,0.092667,0.935607,11.733333
178,-0.018333,0.960806,9.500000
179,-0.241000,0.946563,11.766667
180,0.043667,0.970981,9.966667
181,-0.074333,0.979577,8.433333
182,-0.087667,0.964250,9.766667
183,0.020667,0.938033,12.266667
184,-0.225667,0.965145,10.233333
185,-0.097333,0.959114,10.733333
186,-0.350000,0.937756,9.333333
187,-0.068667,0.963925,7.866667
188,-0.166000,0.969500,10.933333
189,0.295667,0.880200,11.433333
190,0.115667,0.941894,9.433333
191,0.026333,0.962097,11.700000
192,0.120000,0.941060,9.000000
193,0.231667,0.912122,11.166667
194,0.221000,0.911447,12.233333
195,0.305333,0.905648,10.466667
196,0.026667,0.959689,11.666667
197,0.110333,0.952882,9.966667
198,0.247333,0.916493,9.600000
199,-0.076667,0.965658,8.666667
200,0.297667,0.904852,11.233333
201,-0.083667,0.987554,9.366667
202,-0.201667,0.964593,7.833333
203,0.255333,0.917161,8.800000
204,-0.016333,0.961199,9.300000
205,0.187000,0.930660,8.966667
206,0.064000,0.955198,7.933333
207,0.233000,0.916050,11.033333
208,-0.021000,0.960793,9.766667
209,-0.075333,0.965228,8.533333
210,0.290667,0.895578,11.933333
211,0.353667,0.851651,12.300000
212,0.442000,0.824057,10.133333
213,0.052000,0.947612,9.133333
214,0.109333,0.946752,10.066667
215,0.253000,0.923082,9.033333
216,-0.081333,0.962097,9.133333
217,0.247667,0.904226,9.566667
218,0.167333,0.935984,10.933333
219,0.380667,0.851309,9.600000
220,0.198333,0.932913,7.833333
221,0.426000,0.835993,11.733333
222,0.173000,0.933614,10.366667
223,0.193667,0.933090,8.300000
224,0.243000,0.916996,10.033333
225,0.316000,0.889212,9.400000
226,0.455000,0.822998,8.833333
227,0.134333,0.942867,7.566667
228,0.254000,0.905427,8.933333
229,0.314333,0.893471,9.566667
230,0.318000,0.893996,9.200000
231,0.054000,0.961442,8.933333
232,0.568333,0.716855,10.833333
233,0.123333,0.952468,8.666667
234,0.188667,0.932236,8.800000
235,0.455000,0.820812,8.833333
236,0.131000,0.956815,7.900000
237,-0.015333,0.970497,9.200000
238,0.193000,0.931494,8.366667
239,0.130333,0.956108,7.966667
240,0.454667,0.820576,8.866667
241,0.183333,0.945118,9.333333
242,0.191667,0.924226,8.500000
243,-0.013667,0.968089,9.033333
244,0.046667,0.958330,9.666667
245,0.315667,0.889793,9.433333
